Title,price1,price2,Code,Product_href
Lenovo - ThinkPad (PC portable),"1 136,36 ? HT","1 363,63 ? TTC",20LTS50100,https://www.inmac-wstore.com/lenovo-thinkpad-pc-portable-pc-portable-20lts50100/p30032194.htm
Lenovo - ThinkPad (PC portable),"1 704,55 ? HT","2 045,46 ? TTC",20MXS04M00,https://www.inmac-wstore.com/lenovo-thinkpad-pc-portable-pc-portable-20mxs04m00/p30034295.htm
Lenovo - 15.6" - Ryzen 3 5300U - 8 Go RAM - 256 Go SSD,"711,66 ? HT","853,99 ? TTC",20YG004XFR,https://www.inmac-wstore.com/lenovo-15-6-ryzen-3-5300u-8-go-ram-256-go-ssd/p7271779.htm
Lenovo ThinkPad T14s Gen 2 - 14" - Core i5 1135G7 - Evo - 8 Go RAM - 512 Go SSD - Français,"1 510,69 ? HT","1 812,83 ? TTC",20WM00AFFR,https://www.inmac-wstore.com/lenovo-thinkpad-t14s-gen-2-14-core-i5-1135g7-evo-8-go-ram-512-go-ssd-francais/p7266540.htm
Lenovo ThinkBook 15 G3 ACL - 15.6" - Ryzen 7 5700U - 16 Go RAM - 512 Go SSD - Français,"1 009,76 ? HT","1 211,71 ? TTC",21A40007FR,https://www.inmac-wstore.com/lenovo-thinkbook-15-g3-acl-15-6-ryzen-7-5700u-16-go-ram-512-go-ssd-francais/p7263274.htm
Lenovo ThinkPad E14 Gen 2 - 14" - Core i3 1115G4 - 8 Go RAM - 256 Go SSD - Français,"764,47 ? HT","917,36 ? TTC",20TA001UFR,https://www.inmac-wstore.com/lenovo-thinkpad-e14-gen-2-14-core-i3-1115g4-8-go-ram-256-go-ssd-francais/p7255019.htm
Lenovo ThinkPad E15 Gen 3 - 15.6" - Ryzen 7 5700U - 8 Go RAM - 512 Go SSD - Français,"969,92 ? HT","1 163,90 ? TTC",20YG003WFR,https://www.inmac-wstore.com/lenovo-thinkpad-e15-gen-3-15-6-ryzen-7-5700u-8-go-ram-512-go-ssd-francais/p7265419.htm
Lenovo ThinkPad T14 Gen 1 - 14" - Core i5 10310U - vPro - 8 Go RAM - 256 Go SSD - Français,"1 345,50 ? HT","1 614,60 ? TTC",20S00007FR,https://www.inmac-wstore.com/lenovo-thinkpad-t14-gen-1-14-core-i5-10310u-vpro-8-go-ram-256-go-ssd-francais/p7222264.htm
Lenovo ThinkBook 14 G3 ACL - 14" - Ryzen 5 5500U - 8 Go RAM - 512 Go SSD - Français,"814,97 ? HT","977,96 ? TTC",21A2002GFR,https://www.inmac-wstore.com/lenovo-thinkbook-14-g3-acl-14-ryzen-5-5500u-8-go-ram-512-go-ssd-francais/p7263264.htm
Lenovo ThinkPad 11e Yoga Gen 6 - 11.6" - Core m3 8100Y - 8 Go RAM - 256 Go SSD - Français,"792,01 ? HT","950,41 ? TTC",20SF0000FR,https://www.inmac-wstore.com/lenovo-thinkpad-11e-yoga-gen-6-11-6-core-m3-8100y-8-go-ram-256-go-ssd-francais/p7252257.htm
Lenovo ThinkPad T15 Gen 2 - 15.6" - Core i5 1135G7 - 8 Go RAM - 256 Go SSD - Français,"1 405,17 ? HT","1 686,20 ? TTC",20W40091FR,https://www.inmac-wstore.com/lenovo-thinkpad-t15-gen-2-15-6-core-i5-1135g7-8-go-ram-256-go-ssd-francais/p7264801.htm
Lenovo ThinkPad X1 Yoga Gen 5 - 14" - Core i5 10210U - 8 Go RAM - 256 Go SSD - Français,"1 766,52 ? HT","2 119,82 ? TTC",20UB0002FR,https://www.inmac-wstore.com/lenovo-thinkpad-x1-yoga-gen-5-14-core-i5-10210u-8-go-ram-256-go-ssd-francais/p7217205.htm
Lenovo ThinkPad T15 Gen 2 - 15.6" - Core i5 1145G7 - 8 Go RAM - 256 Go SSD - Français,"1 440,67 ? HT","1 728,80 ? TTC",20W40092FR,https://www.inmac-wstore.com/lenovo-thinkpad-t15-gen-2-15-6-core-i5-1145g7-8-go-ram-256-go-ssd-francais/p7264802.htm
Lenovo ThinkPad T14 Gen 2 - 14" - Core i5 1135G7 - 8 Go RAM - 256 Go SSD - Français,"1 360,19 ? HT","1 632,23 ? TTC",20W000B7FR,https://www.inmac-wstore.com/lenovo-thinkpad-t14-gen-2-14-core-i5-1135g7-8-go-ram-256-go-ssd-francais/p7264807.htm
