Title,Price excl. btw,price incl. btw,Code,product_href
Lenovo ThinkPad T15 Laptop - Zwart,"1.308,-
       ","1.582,68",20W4002BMH,https://www.centralpoint.nl/notebooks-laptops/lenovo/thinkpad-t15-art-20w4002bmh-num-13614489/
Lenovo ThinkBook 15p Laptop - Grijs,"1.123,-
       ","1.358,83",20V3000QMH,https://www.centralpoint.nl/notebooks-laptops/lenovo/thinkbook-15p-art-20v3000qmh-num-13153523/
Lenovo ThinkPad E14 Laptop - Zwart,"959,-
       ","1.160,39",20TA002QMH,https://www.centralpoint.nl/notebooks-laptops/lenovo/thinkpad-e14-art-20ta002qmh-num-13554357/
Lenovo ThinkBook 14 G2 Laptop - Grijs,"657,-
       ","794,97",20VF003NMH,https://www.centralpoint.nl/notebooks-laptops/lenovo/thinkbook-14-g2-art-20vf003nmh-num-13554347/
Lenovo ThinkBook 15 Laptop - Grijs,"922,-
       ","1.115,62",20VE0049MH,https://www.centralpoint.nl/notebooks-laptops/lenovo/thinkbook-15-art-20ve0049mh-num-13554345/
Lenovo Chromebook 14e 14" Touch AMD A4 8GB RAM 64GB eMMC Laptop - Grijs,"289,-
       ","349,69",81MH0001MH,https://www.centralpoint.nl/notebooks-laptops/lenovo/chromebook-14e-14-touch-amd-a4-8gb-ram-64gb-emmc-art-81mh0001mh-num-11496823/
Lenovo ThinkBook 15 Laptop - Grijs,"615,-
       ","744,15",20VE006LMH,https://www.centralpoint.nl/notebooks-laptops/lenovo/thinkbook-15-art-20ve006lmh-num-13434313/
Lenovo ThinkBook 14s Yoga Laptop - Grijs,"1.061,-
       ","1.283,81",20WE001RMH,https://www.centralpoint.nl/notebooks-laptops/lenovo/thinkbook-14s-yoga-art-20we001rmh-num-13554355/
Lenovo ThinkBook 15 Laptop - Grijs,"738,-
       ","892,98",20VE0046MH,https://www.centralpoint.nl/notebooks-laptops/lenovo/thinkbook-15-art-20ve0046mh-num-13554339/
Lenovo V V15 Laptop - Grijs,"410,-
       ","496,10",82C7008LMH,https://www.centralpoint.nl/notebooks-laptops/lenovo/v15-adai5-1035g14gb256gbw10h1-year-art-82c7008lmh-num-12767837/
Lenovo ThinkPad E15 Laptop - Zwart,"937,-
       ","1.133,77",20TD0038MH,https://www.centralpoint.nl/notebooks-laptops/lenovo/e15-gen-2-itu-t-i7-1165g7-16-256-w10p-art-20td0038mh-num-13554327/
